reference_id,display_name,reference_execution_plan,live_migration_support_class,implementation_start_state,required_start_evidence,required_completion_evidence,project_tests_root,go_no_go_file,status
mariadb,MariaDB,project/tests/reference_regression/mariadb,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/mariadb,project/tests/reference_regression/mariadb/README.md,blocked_by_gate_evidence_register
milvus,Milvus,project/tests/reference_regression/milvus,configured_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/milvus,project/tests/reference_regression/milvus/README.md,blocked_by_gate_evidence_register
mongodb,MongoDB,project/tests/reference_regression/mongodb,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/mongodb,project/tests/reference_regression/mongodb/README.md,blocked_by_gate_evidence_register
mysql,MySQL,project/tests/reference_regression/mysql,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/mysql,project/tests/reference_regression/mysql/README.md,blocked_by_gate_evidence_register
neo4j,Neo4j,project/tests/reference_regression/neo4j,configured_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/neo4j,project/tests/reference_regression/neo4j/README.md,blocked_by_gate_evidence_register
opensearch_rest,OpenSearch REST DSL,project/tests/reference_regression/opensearch/rest_dsl,proxy_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/opensearch/rest_dsl,project/tests/reference_regression/opensearch/rest_dsl/README.md,blocked_by_gate_evidence_register
opensearch_sql_ppl,OpenSearch SQL/PPL,project/tests/reference_regression/opensearch/sql_ppl,snapshot_pause,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/opensearch/sql_ppl,project/tests/reference_regression/opensearch/sql_ppl/README.md,blocked_by_gate_evidence_register
postgresql,PostgreSQL,project/tests/reference_regression/postgresql,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/postgresql,project/tests/reference_regression/postgresql/README.md,blocked_by_gate_evidence_register
redis,Redis,project/tests/reference_regression/redis,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/redis,project/tests/reference_regression/redis/README.md,blocked_by_gate_evidence_register
sqlite,SQLite,project/tests/reference_regression/sqlite,snapshot_pause,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/sqlite,project/tests/reference_regression/sqlite/README.md,blocked_by_gate_evidence_register
tidb,TiDB,project/tests/reference_regression/tidb,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/tidb,project/tests/reference_regression/tidb/README.md,blocked_by_gate_evidence_register
tikv,TiKV,project/tests/reference_regression/tikv,configured_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/tikv,project/tests/reference_regression/tikv/README.md,blocked_by_gate_evidence_register
vitess,Vitess,project/tests/reference_regression/vitess,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/vitess,project/tests/reference_regression/vitess/README.md,blocked_by_gate_evidence_register
xtdb,XTDB,project/tests/reference_regression/xtdb,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/xtdb,project/tests/reference_regression/xtdb/README.md,blocked_by_gate_evidence_register
yugabytedb,YugabyteDB,project/tests/reference_regression/yugabytedb,native_live,no_go_pending_central_evidence,listener_engine_gold;interface_closure;regression_extraction;native_tool_harness;security_policy_overlay;live_migration_method;generated_resource_authority;QA_start_signoff,full_project_tests;performance_baseline;crash_recovery;long_soak;security_review;operational_packaging;compatibility_guarantee;support_process;independent_audit,project/tests/reference_regression/yugabytedb,project/tests/reference_regression/yugabytedb/README.md,blocked_by_gate_evidence_register
