proof_id,proof_type,compatibility,native_tool,case_id,source_or_staged_locator,route_coverage,expected_operation_family,expected_statement_kind,expected_disposition,expected_diagnostic_code,proof_status,ctest_label,test_destination,evidence_key,authority_policy,status,notes
FPR-P6-SUMMARY-011,compatibility_replay_summary,yugabytedb,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/yugabytedb,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.yugabytedb,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-012,compatibility_replay_summary,cassandra,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/cassandra,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.cassandra,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-013,compatibility_replay_summary,mongodb,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/mongodb,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.mongodb,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-014,compatibility_replay_summary,redis,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/redis,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.redis,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-015,compatibility_replay_summary,opensearch_sql_ppl,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/opensearch_sql_ppl,replay_cases=4;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.opensearch_sql_ppl,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-016,compatibility_replay_summary,opensearch,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/opensearch,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.opensearch,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-017,compatibility_replay_summary,neo4j,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/neo4j,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.neo4j,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-018,compatibility_replay_summary,influxdb,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/influxdb,replay_cases=4;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.influxdb,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-019,compatibility_replay_summary,milvus,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/milvus,replay_cases=4;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.milvus,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-020,compatibility_replay_summary,dolt,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/dolt,replay_cases=3;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.dolt,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-021,compatibility_replay_summary,apache_ignite,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/apache_ignite,replay_cases=4;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.apache_ignite,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-022,compatibility_replay_summary,tikv,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/tikv,replay_cases=4;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.tikv,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-023,compatibility_replay_summary,foundationdb,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/foundationdb,replay_cases=4;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.foundationdb,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-024,compatibility_replay_summary,immudb,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/immudb,replay_cases=4;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.immudb,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-SUMMARY-025,compatibility_replay_summary,xtdb,not_applicable,not_applicable,project/tests/conformance/compatibility_parsers/xtdb,replay_cases=5;native_tools=0,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_counts_by_dialect.xtdb,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-native replay and staged-tool evidence is covered by regular CTest proof.
FPR-P6-TOOL-001,native_tool_staging,firebird,firebird-isql,not_applicable,project/tests/reference_regression/firebird/native_tool_harness/tools/isql,native_tool_staged_and_smoked,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,staged_tools.firebird-isql,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Native compatibility tool or compatibility-owned test artifact is staged under project tests and smoke checked.
FPR-P6-TOOL-002,native_tool_staging,mysql,mysql-client,not_applicable,project/tests/reference_regression/mysql/native_tool_harness/tools/mysql,native_tool_staged_and_smoked,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,staged_tools.mysql-client,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Native compatibility tool or compatibility-owned test artifact is staged under project tests and smoke checked.
FPR-P6-TOOL-003,native_tool_staging,mysql,mysqltest,not_applicable,project/tests/reference_regression/mysql/native_tool_harness/tools/mysqltest,native_tool_staged_and_smoked,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,staged_tools.mysqltest,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Native compatibility tool or compatibility-owned test artifact is staged under project tests and smoke checked.
FPR-P6-TOOL-005,native_tool_staging,postgresql,pg-regress,not_applicable,project/tests/reference_regression/postgresql/native_tool_harness/tools/pg_regress,native_tool_staged_and_smoked,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,staged_tools.pg-regress,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Native compatibility tool or compatibility-owned test artifact is staged under project tests and smoke checked.
FPR-P6-TOOL-006,native_tool_staging,postgresql,pg-isolation-regress,not_applicable,project/tests/reference_regression/postgresql/native_tool_harness/tools/pg_isolation_regress,native_tool_staged_and_smoked,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,staged_tools.pg-isolation-regress,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Native compatibility tool or compatibility-owned test artifact is staged under project tests and smoke checked.
FPR-P6-TOOL-007,native_tool_staging,postgresql,psql,not_applicable,project/tests/reference_regression/postgresql/native_tool_harness/tools/psql,native_tool_staged_and_smoked,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,staged_tools.psql,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Native compatibility tool or compatibility-owned test artifact is staged under project tests and smoke checked.
FPR-P6-TOOL-008,native_tool_staging,postgresql,pgbench,not_applicable,project/tests/reference_regression/postgresql/native_tool_harness/tools/pgbench,native_tool_staged_and_smoked,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,staged_tools.pgbench,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Native compatibility tool or compatibility-owned test artifact is staged under project tests and smoke checked.
FPR-P6-TOOL-009,native_tool_staging,sqlite,sqlite3-cli,not_applicable,project/tests/reference_regression/sqlite/native_tool_harness/tools/sqlite3,native_tool_staged_and_smoked,not_applicable,not_applicable,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,staged_tools.sqlite3-cli,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Native compatibility tool or compatibility-owned test artifact is staged under project tests and smoke checked.
FPR-P6-REPLAY-001,native_replay_case,firebird,not_applicable,FIREBIRD-EMPDDL-DOMAIN,public_repo_reference_not_packaged/examples/empbuild/empddl.sql,firebird.datatype.domain.create,firebird.datatype.domain.create,CREATE_DOMAIN,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.FIREBIRD-EMPDDL-DOMAIN,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-002,native_replay_case,firebird,not_applicable,FIREBIRD-EMPDDL-TABLE,public_repo_reference_not_packaged/examples/empbuild/empddl.sql,firebird.ddl.create,firebird.ddl.create,CREATE_TABLE,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.FIREBIRD-EMPDDL-TABLE,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-003,native_replay_case,firebird,not_applicable,FIREBIRD-EMPDML-INSERT,public_repo_reference_not_packaged/examples/empbuild/empdml.sql,firebird.dml.insert,firebird.dml.insert,INSERT,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.FIREBIRD-EMPDML-INSERT,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-004,native_replay_case,firebird,not_applicable,FIREBIRD-EMPDML-UPDATE,public_repo_reference_not_packaged/examples/empbuild/empdml.sql,firebird.dml.update,firebird.dml.update,UPDATE,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.FIREBIRD-EMPDML-UPDATE,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-005,native_replay_case,firebird,not_applicable,FIREBIRD-PARSER-PSQL-EXECUTE-BLOCK,project/tests/firebird_parser_worker/firebird_parser_pipeline_probe.cpp,firebird.psql.execute_block,firebird.psql.execute_block,EXECUTE_BLOCK,not_applicable,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.FIREBIRD-PARSER-PSQL-EXECUTE-BLOCK,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-006,native_replay_case,mysql,not_applicable,MYSQL-INSERT-BASIC,public_repo_reference_not_packaged/mysql-test/t/insert.test,mysql.dml.insert,mysql.dml.insert,INSERT,admitted_sblr,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.MYSQL-INSERT-BASIC,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-007,native_replay_case,mysql,not_applicable,MYSQL-INSERT-ON-DUPLICATE,public_repo_reference_not_packaged/mysql-test/t/insert.test,mysql.dml.insert,mysql.dml.insert,INSERT,admitted_sblr,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.MYSQL-INSERT-ON-DUPLICATE,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-008,native_replay_case,mysql,not_applicable,MYSQL-SHOW-TABLES,public_repo_reference_not_packaged/mysql-test/t/show_variables.test,mysql.catalog_overlay.show,mysql.catalog_overlay.show,SHOW,catalog_projection,not_applicable,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.MYSQL-SHOW-TABLES,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-009,native_replay_case,mysql,not_applicable,MYSQL-LOAD-DATA-FILE-REFUSAL,public_repo_reference_not_packaged/mysql-test/t/loaddata.test,mysql.bulk_io.load_data_infile,mysql.bulk_io.load_data_infile,LOAD_DATA,policy_refusal_fail_closed,MYSQL.AUTHORITY.FILE_IO_DENIED,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.MYSQL-LOAD-DATA-FILE-REFUSAL,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-010,native_replay_case,mysql,not_applicable,MYSQL-LOAD-FILE-REFUSAL,public_repo_reference_not_packaged/mysql-test/t/loaddata_special.test,mysql.bulk_io.load_file,mysql.bulk_io.load_file,SELECT,policy_refusal_fail_closed,MYSQL.AUTHORITY.FILE_IO_DENIED,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.MYSQL-LOAD-FILE-REFUSAL,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-011,native_replay_case,mysql,not_applicable,MYSQL-MAINTENANCE-ANALYZE,public_repo_reference_not_packaged/mysql-test/t/func_rand.test,mysql.maintenance.analyze_table,mysql.maintenance.analyze_table,ANALYZE,unsupported_refusal_fail_closed,MYSQL.AUTHORITY.UNSUPPORTED_DENIED,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.MYSQL-MAINTENANCE-ANALYZE,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-012,native_replay_case,mysql,not_applicable,MYSQL-MAINTENANCE-OPTIMIZE,public_repo_reference_not_packaged/mysql-test/t/alter_table_myisam.test,mysql.maintenance.optimize_table,mysql.maintenance.optimize_table,OPTIMIZE,unsupported_refusal_fail_closed,MYSQL.AUTHORITY.UNSUPPORTED_DENIED,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.MYSQL-MAINTENANCE-OPTIMIZE,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
FPR-P6-REPLAY-013,native_replay_case,mysql,not_applicable,MYSQL-MAINTENANCE-CHECK,public_repo_reference_not_packaged/mysql-test/t/myisampack.test,mysql.maintenance.check_table,mysql.maintenance.check_table,CHECK,unsupported_refusal_fail_closed,MYSQL.AUTHORITY.UNSUPPORTED_DENIED,p6_compatibility_replay_proof_verified,compatibility_sql_first_tranche_original_tool_replay_gate,project/tests/compatibility_sql_parser_first_tranche/parser_compatibility_replay_proof_gate.py,replay_results.MYSQL-MAINTENANCE-CHECK,parser_evidence_only_engine_mga_security_storage_authority,p6_compatibility_replay_proof_verified,Compatibility-sourced replay case is parsed into the expected ScratchBird envelope without compatibility storage or transaction authority.
