id,section,capability,requirement,applies_to,release_state,spec_status,implementation_status,test_status,closure_status,required_ctest_labels,route_requirement
D3.18,3.3 Authentication and bootstrap,Token rotation / refresh during long sessions,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D4.1,3.4 Transport security (TLS),TLS 1.2 floor,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D4.2,3.4 Transport security (TLS),TLS 1.3,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D4.3,3.4 Transport security (TLS),Custom CA bundle,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D4.4,3.4 Transport security (TLS),Client certificate file,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D4.5,3.4 Transport security (TLS),Custom hostname verification callback,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D4.6,3.4 Transport security (TLS),OCSP / CRL revocation check,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D4.7,3.4 Transport security (TLS),SNI,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D4.8,3.4 Transport security (TLS),ALPN selection,conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D4.9,3.4 Transport security (TLS),TLS resumption / session ID reuse,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D4.10,3.4 Transport security (TLS),In-place TLS reload (cert rotation without disconnect),conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D5.1,3.5 DSN / connection-string parsing,All canonical ScratchBird DSN keys recognized,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_dsn_gate,lane_specific_full_route
D5.2,3.5 DSN / connection-string parsing,"Aliases for legacy donor keys (PGSSLMODE, MYSQL_*) emit a deprecation diagnostic",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_dsn_gate,lane_specific_full_route
D5.3,3.5 DSN / connection-string parsing,Refusal of unknown keys with 08001 / 0A000,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_dsn_gate,lane_specific_full_route
D5.4,3.5 DSN / connection-string parsing,URL parsing with ?key=val&key=val form,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_dsn_gate,lane_specific_full_route
D5.5,3.5 DSN / connection-string parsing,"Environment-variable defaults (e.g., SBHOST, SBPORT, SBDATABASE)",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_dsn_gate,lane_specific_full_route
D5.6,3.5 DSN / connection-string parsing,DSN file inheritance / include directive,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_dsn_gate,lane_specific_full_route
D5.7,3.5 DSN / connection-string parsing,"Secret reference (e.g., Password=${env:VAR})",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_dsn_gate,lane_specific_full_route
D6.1,3.6 Statement execution,Execute SQL with no result,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.2,3.6 Statement execution,Execute SQL returning a result set,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.3,3.6 Statement execution,Execute SQL returning a single scalar,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.4,3.6 Statement execution,"Prepared statement (parse + bind + execute, reusable)",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.5,3.6 Statement execution,Server-side prepared-statement reuse with auto-name,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.6,3.6 Statement execution,Stored-procedure call (in/out/inout),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.7,3.6 Statement execution,Multiple result sets from one statement,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.8,3.6 Statement execution,Update count after DML,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.9,3.6 Statement execution,Auto-generated keys returned after INSERT,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.10,3.6 Statement execution,Async statement execution,required_where_host_has_async,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.11,3.6 Statement execution,Fetch size hint (server-side cursor / portal),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.12,3.6 Statement execution,Statement-level timeout,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.13,3.6 Statement execution,Statement cancel from another thread,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.14,3.6 Statement execution,Pipeline / batch with multiple statements,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.15,3.6 Statement execution,Pipeline mode (send-without-await / pgjdbc 42.x),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.16,3.6 Statement execution,Server-side parameter array bind for high-throughput insert,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.17,3.6 Statement execution,Cursor WITH HOLD (cursor survives commit),conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.18,3.6 Statement execution,Statement metadata before execute (parameter and result descriptors),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.19,3.6 Statement execution,Cancel propagation crosses connection-pool reset,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D6.20,3.6 Statement execution,EXPLAIN/EXPLAIN ANALYZE round-trip via standard execute,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.1,3.7 Parameter binding,Positional parameters (?),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.2,3.7 Parameter binding,Named parameters,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.3,3.7 Parameter binding,Null binding distinct from 'NULL' string,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.4,3.7 Parameter binding,Output parameters,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.5,3.7 Parameter binding,Array parameter binding (per-row),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.6,3.7 Parameter binding,Array parameter binding (whole array as one value),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.7,3.7 Parameter binding,"LOB parameter (chunked send, bounded memory)",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.8,3.7 Parameter binding,Large parameter without pre-known length,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.9,3.7 Parameter binding,Structured / composite parameter (record type),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.10,3.7 Parameter binding,Range type parameter,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.11,3.7 Parameter binding,UUID parameter,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.12,3.7 Parameter binding,JSON / JSONB parameter,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.13,3.7 Parameter binding,Vector / spatial / time-series parameter,conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.14,3.7 Parameter binding,Parameter direction validation (cannot bind output to input position),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.15,3.7 Parameter binding,Parameter scale/precision/size respected against descriptor,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.16,3.7 Parameter binding,Wide-character parameter (UTF-16 / UTF-8 explicit),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.17,3.7 Parameter binding,Untyped parameter inference (driver picks type from runtime value),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D7.18,3.7 Parameter binding,"Parameter inspection (read-back value, type after bind)",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.1,3.8 Result fetching and decoding,Forward-only iteration,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.2,3.8 Result fetching and decoding,Forward-only async iteration,required_where_host_has_async,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.3,3.8 Result fetching and decoding,Scrollable read (relative/absolute/first/last),conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.4,3.8 Result fetching and decoding,"Scrollable, sensitive vs insensitive cursor",conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.5,3.8 Result fetching and decoding,Updatable cursor (positional update),conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.6,3.8 Result fetching and decoding,"Result-set metadata (column count, name, type, nullability, precision, scale)",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.7,3.8 Result fetching and decoding,Typed getter for each baseline scalar (int/long/float/double/decimal/string/bytes/bool/date/time/timestamp/timestamptz/uuid),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.8,3.8 Result fetching and decoding,"Generic getter (getObject(col, T.class)) for runtime typing",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.9,3.8 Result fetching and decoding,Null check (column-level),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.10,3.8 Result fetching and decoding,"LOB streaming (chunked fetch, bounded memory)",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
