id,section,capability,requirement,applies_to,owner,spec_refs_required,implementation_refs_required,required_ctest_labels,evidence_artifacts,route_requirement,closure_rule,status
D2.8,3.2 Connection establishment,Validate live connection without round-tripping a query,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.9,3.2 Connection establishment,Failover / multi-host connection string,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.10,3.2 Connection establishment,TCP keepalive / liveness probe,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.11,3.2 Connection establishment,Per-connection network timeout,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.12,3.2 Connection establishment,Server-version probe after connect,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.13,3.2 Connection establishment,Application name / client identification carried to server,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.14,3.2 Connection establishment,Default schema selection at connect,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D2.15,3.2 Connection establishment,Default catalog selection at connect,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_connection_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.1,3.3 Authentication and bootstrap,Cleartext / startup PASSWORD auth,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.2,3.3 Authentication and bootstrap,SCRAM-SHA-256,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.3,3.3 Authentication and bootstrap,SCRAM-SHA-512,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.4,3.3 Authentication and bootstrap,Channel binding (tls-server-end-point) for SCRAM,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.5,3.3 Authentication and bootstrap,mTLS client-cert auth,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.6,3.3 Authentication and bootstrap,Kerberos / GSSAPI,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.7,3.3 Authentication and bootstrap,OIDC / JWT bearer token,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.8,3.3 Authentication and bootstrap,SAML / federated assertion,required_for_admitted_methods,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.9,3.3 Authentication and bootstrap,LDAP / AD bind (no Kerberos),required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.10,3.3 Authentication and bootstrap,mTLS peer-cert principal mapping (PEER),required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.11,3.3 Authentication and bootstrap,RADIUS,conditional,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven_or_not_applicable_with_citation,implemented_and_proven
D3.12,3.3 Authentication and bootstrap,WebAuthn / FIDO2 (interactive MFA),conditional,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven_or_not_applicable_with_citation,implemented_and_proven
D3.13,3.3 Authentication and bootstrap,Workload identity (SPIFFE / managed-identity),required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.14,3.3 Authentication and bootstrap,Auth-method probe before any privileged call,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.15,3.3 Authentication and bootstrap,Resolved-auth reporting after attach,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.16,3.3 Authentication and bootstrap,Manager-proxy front-door bootstrap,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.17,3.3 Authentication and bootstrap,Fail-closed on admitted-but-unsupported auth method,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D3.18,3.3 Authentication and bootstrap,Token rotation / refresh during long sessions,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_auth_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D4.1,3.4 Transport security (TLS),TLS 1.2 floor,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D4.2,3.4 Transport security (TLS),TLS 1.3,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D4.3,3.4 Transport security (TLS),Custom CA bundle,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D4.4,3.4 Transport security (TLS),Client certificate file,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D4.5,3.4 Transport security (TLS),Custom hostname verification callback,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D4.6,3.4 Transport security (TLS),OCSP / CRL revocation check,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D4.7,3.4 Transport security (TLS),SNI,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D4.8,3.4 Transport security (TLS),ALPN selection,conditional,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven_or_not_applicable_with_citation,implemented_and_proven
D4.9,3.4 Transport security (TLS),TLS resumption / session ID reuse,required,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D4.10,3.4 Transport security (TLS),In-place TLS reload (cert rotation without disconnect),conditional,driver_lane,security_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_tls_gate;driver_server_surface_gate;security_auth_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven_or_not_applicable_with_citation,implemented_and_proven
D5.1,3.5 DSN / connection-string parsing,All canonical ScratchBird DSN keys recognized,required,driver_lane,driver_lane_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_dsn_gate,,lane_specific_full_route,implemented_and_proven,implemented_and_proven
D5.2,3.5 DSN / connection-string parsing,"Aliases for legacy donor keys (PGSSLMODE, MYSQL_*) emit a deprecation diagnostic",required,driver_lane,driver_lane_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_dsn_gate,,lane_specific_full_route,implemented_and_proven,implemented_and_proven
D5.3,3.5 DSN / connection-string parsing,Refusal of unknown keys with 08001 / 0A000,required,driver_lane,driver_lane_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_dsn_gate,,lane_specific_full_route,implemented_and_proven,implemented_and_proven
D5.4,3.5 DSN / connection-string parsing,URL parsing with ?key=val&key=val form,required,driver_lane,driver_lane_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_dsn_gate,,lane_specific_full_route,implemented_and_proven,implemented_and_proven
D5.5,3.5 DSN / connection-string parsing,"Environment-variable defaults (e.g., SBHOST, SBPORT, SBDATABASE)",required,driver_lane,driver_lane_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_dsn_gate,,lane_specific_full_route,implemented_and_proven,implemented_and_proven
D5.6,3.5 DSN / connection-string parsing,DSN file inheritance / include directive,required,driver_lane,driver_lane_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_dsn_gate,,lane_specific_full_route,implemented_and_proven,implemented_and_proven
D5.7,3.5 DSN / connection-string parsing,"Secret reference (e.g., Password=${env:VAR})",required,driver_lane,driver_lane_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_dsn_gate,,lane_specific_full_route,implemented_and_proven,implemented_and_proven
D6.1,3.6 Statement execution,Execute SQL with no result,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.2,3.6 Statement execution,Execute SQL returning a result set,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.3,3.6 Statement execution,Execute SQL returning a single scalar,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.4,3.6 Statement execution,"Prepared statement (parse + bind + execute, reusable)",required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.5,3.6 Statement execution,Server-side prepared-statement reuse with auto-name,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.6,3.6 Statement execution,Stored-procedure call (in/out/inout),required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.7,3.6 Statement execution,Multiple result sets from one statement,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.8,3.6 Statement execution,Update count after DML,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.9,3.6 Statement execution,Auto-generated keys returned after INSERT,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.10,3.6 Statement execution,Async statement execution,required_where_host_has_async,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.11,3.6 Statement execution,Fetch size hint (server-side cursor / portal),required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.12,3.6 Statement execution,Statement-level timeout,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.13,3.6 Statement execution,Statement cancel from another thread,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.14,3.6 Statement execution,Pipeline / batch with multiple statements,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.15,3.6 Statement execution,Pipeline mode (send-without-await / pgjdbc 42.x),required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.16,3.6 Statement execution,Server-side parameter array bind for high-throughput insert,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.17,3.6 Statement execution,Cursor WITH HOLD (cursor survives commit),conditional,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven_or_not_applicable_with_citation,implemented_and_proven
D6.18,3.6 Statement execution,Statement metadata before execute (parameter and result descriptors),required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.19,3.6 Statement execution,Cancel propagation crosses connection-pool reset,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D6.20,3.6 Statement execution,EXPLAIN/EXPLAIN ANALYZE round-trip via standard execute,required,driver_lane,wire_impl_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_statement_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D7.1,3.7 Parameter binding,Positional parameters (?),required,driver_lane,datatype_metadata_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D7.2,3.7 Parameter binding,Named parameters,required,driver_lane,datatype_metadata_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D7.3,3.7 Parameter binding,Null binding distinct from 'NULL' string,required,driver_lane,datatype_metadata_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D7.4,3.7 Parameter binding,Output parameters,required,driver_lane,datatype_metadata_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D7.5,3.7 Parameter binding,Array parameter binding (per-row),required,driver_lane,datatype_metadata_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D7.6,3.7 Parameter binding,Array parameter binding (whole array as one value),required,driver_lane,datatype_metadata_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D7.7,3.7 Parameter binding,"LOB parameter (chunked send, bounded memory)",required,driver_lane,datatype_metadata_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
D7.8,3.7 Parameter binding,Large parameter without pre-known length,required,driver_lane,datatype_metadata_agent,public_contract_snapshot;public_contract_snapshot,project/drivers;project/src;project/tests,driver_checklist_registry;driver_parameter_gate;driver_server_surface_gate,,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine,implemented_and_proven,implemented_and_proven
