slice_id,phase,title,status,owner,outputs,acceptance
PRF-011,P1,Listener and server SBWP/TLS termination,completed,TLS agent,project/src/listener;project/src/server;project/src/wire,Client to listener to parser/server path performs TLS handshake and refuses plaintext when policy requires TLS
PRF-012,P1,Engine-authorized authentication binding,completed,TLS agent,security and auth binding code,Credentials channel binding mTLS subject mapping and deny message vectors route through engine security authority
PRF-013,P1,TLS negative and interoperability gates,completed,TLS agent,project/tests/listener;project/tests/sbsql_parser_worker,sbwp_tls_server_listener_gate sbwp_tls_engine_auth_gate and sbwp_tls_negative_policy_gate pass
PRF-014,P1,TLS fixture policy,completed,TLS agent,artifacts/TLS_FIXTURE_POLICY.md,Generated cert CA mTLS expired wrong CA plaintext denied and channel-binding mismatch fixtures are defined under build/
PRF-018,P2,Catalog physical index and information projection naming decisions,completed,catalog agent,artifacts/CATALOG_PHYSICAL_INDEX_PROFILE.md;artifacts/INFORMATION_PROJECTION_NAMING_DECISION.md,Catalog index profiles and user-facing projection naming are decided before catalog code lands
PRF-019,P2,SQL object synonym implementation,completed,catalog agent,artifacts/SYNONYM_OBJECT_SEMANTICS.md;project/src/engine/internal_api/catalog;project/src/core/catalog;project/src/parsers/sbsql_worker,First-class SQL synonym objects implement the manifest-listed synonym specs with parent scoped unique names target object references bounded chain resolution cycle detection dependency edges and parent remap behavior
PRF-020,P2,Catalog common descriptor and row codec closure,completed,catalog agent,project/src/core/catalog;project/src/catalog/bootstrap,All required common columns lifecycle epoch owner transaction and audit fields are encoded and validated
PRF-021,P2,sys.catalog table materialization,completed,catalog agent,project/src/catalog/bootstrap;project/src/storage/page/catalog_page,Required sys.catalog tables are physical catalog objects with UUID identities and visible catalog rows
PRF-022,P2,Name and comment resolver table closure,completed,catalog agent,project/src/engine/internal_api/catalog;project/src/core/catalog,Names and comments are stored in resolver tables not duplicated inside authoritative catalog object tables
PRF-023,P2,Catalog generation MGA commit handshake,completed,catalog agent,transaction and catalog APIs,DDL allocates pending generation commits through MGA and rolls back provisional descriptors on rollback
PRF-024,P2,Catalog dependency graph API,completed,catalog agent,project/src/engine/internal_api/catalog,Dependency graph stores source target and dependency set UUIDs and supports DDL validation traversal
PRF-025,P2,sys.catalog_readable projections,completed,catalog agent,project/src/sys;catalog projection code,Security-filtered readable views resolve names comments and hide raw UUIDs where required
PRF-026,P2,sys.information projections and legacy synonym object,completed,catalog agent,project/src/sys;catalog projection code,Canonical sys.information views exist with resolver-backed names and security filtering while sys.information_schema is a first-class synonym object that resolves to sys.information and never owns children
PRF-027,P2,Catalog diagnostics and wire metadata,completed,catalog agent,diagnostic registry and driver metadata code,Catalog invalid states emit stable diagnostics and wire metadata derives from descriptor UUID authority
PRF-030,P3,Constraint catalog descriptor model,completed,constraint agent,project/src/core/catalog;project/src/engine/internal_api/catalog,Constraint key and support-structure descriptors are UUID authoritative catalog objects
PRF-031,P3,Constraint DDL and parser lowering,completed,constraint agent,project/src/parsers/sbsql_worker;engine catalog APIs,CREATE ALTER DROP constraint and key commands lower to SBLR/catalog envelopes and commit under MGA
PRF-032,P3,DML constraint enforcement,completed,constraint agent,project/src/engine/executor;project/src/engine/internal_api/dml,NOT NULL DEFAULT CHECK PK UNIQUE FK and exclusion behavior enforce before visible commit
PRF-033,P3,Constraint transaction visibility and savepoints,completed,constraint agent,transaction and executor code,Deferred constraints savepoint rollback DDL rollback and concurrent visibility follow MGA rules
PRF-034,P3,Constraint diagnostics and reference mapping,completed,constraint agent,diagnostic registry and reference render interfaces,Constraint failures emit canonical diagnostics and reference render hooks without making reference messages authority
PRF-035,P3,Constraint backing-index dependency policy,completed,constraint agent,artifacts/CONSTRAINT_INDEX_DEPENDENCY_POLICY.md,Primary unique foreign and exclusion constraints define required backing index support and build order
PRF-040,P4,MGA recovery proof model,completed,MGA recovery agent,artifacts/MGA_RECOVERY_PROOF_MODEL.md,Recovery authority uses transaction inventory page state checkpoint dirty manifest and operation envelopes only
PRF-041,P4,Checkpoint generation and dirty manifest emission,completed,MGA recovery agent,project/src/transaction/mga;project/src/storage/database,Checkpoint generation emits hashed dirty object manifests with transaction and operation envelope evidence
PRF-042,P4,Startup recovery manifest consumption,completed,MGA recovery agent,recovery startup code,Startup recovery consumes manifests idempotently and falls back to bounded scan or fail-closed quarantine
PRF-043,P4,Backup and restore manifest proof,completed,MGA recovery agent,backup_archive APIs and tools,Backup restore manifests include checksum signature timeline fork key-lineage and coverage validation
PRF-044,P4,MGA delta package and apply coverage,completed,MGA recovery agent,delta stream APIs,Delta package/apply records contiguous coverage gaps timeline identity and non-authoritative stream proof
PRF-045,P4,PITR restore points and rollforward,completed,MGA recovery agent,pitr manager and restore APIs,Restore target selection by transaction timestamp named point or latest-valid validates coverage and replays deterministically
PRF-046,P4,Page durability and mutation ordering,completed,MGA recovery agent,storage page and disk code,MGA visibility is never published before durability fence and allocation maps never reference non-durable generations
PRF-049,P5,Full-route acceptance fixture contract,completed,coordinator,artifacts/FULL_ROUTE_ACCEPTANCE_FIXTURE.md,End-to-end route fixture defines client SBWP/TLS listener parser IPC server engine catalog constraint and recovery checks
PRF-050,P5,Full route integration regression,completed,coordinator,project/tests integration suite,SBSQL over SBWP/TLS through listener parser IPC server engine exercises catalog constraints and MGA recovery paths
PRF-060,P5,Final target zero-grey audit,completed,coordinator,FINAL_AUDIT.md;CLOSURE_REPORT.md;updated public gap registry,All target gaps are implemented_in_full target gate passes and global open count is reduced with no regressions
PRF-061,P5,Global non-target regression audit,completed,coordinator,artifacts/GLOBAL_ZERO_GREY_NON_TARGET_REGRESSION.md,Full public zero-grey failures are proven to be outside target scope and no closed or target row regressed
