compatibility,surface,refusal_reason,message_vector,test_destination,reviewer,source_search_key
clickhouse,clickhouse.bulk_io.backup,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,CLICKHOUSE.AUTHORITY.BACKUP_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.bulk_io.backup
clickhouse,clickhouse.bulk_io.restore,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,CLICKHOUSE.AUTHORITY.BACKUP_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.bulk_io.restore
clickhouse,clickhouse.storage.attach,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,CLICKHOUSE.AUTHORITY.STORAGE_ADMIN_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.storage.attach
clickhouse,clickhouse.storage.detach,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,CLICKHOUSE.AUTHORITY.STORAGE_ADMIN_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.storage.detach
clickhouse,clickhouse.distributed.remote_function,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,CLICKHOUSE.AUTHORITY.DISTRIBUTED_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kPatterns:clickhouse.distributed.remote_function
clickhouse,builtin_function_surface:system,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kBuiltinSurfaces:system
clickhouse,diagnostic_surface:system,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kDiagnosticSurfaces:system
clickhouse,diagnostic_surface:backup,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kDiagnosticSurfaces:backup
clickhouse,diagnostic_surface:storage_admin,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kDiagnosticSurfaces:storage_admin
clickhouse,diagnostic_surface:distributed,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kDiagnosticSurfaces:distributed
clickhouse,diagnostic_surface:catalog,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#kDiagnosticSurfaces:catalog
clickhouse,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/clickhouse/clickhouse_dialect.cpp#marker:unsupported
cockroachdb,cockroachdb.backup.backup,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,COCKROACHDB.AUTHORITY.BACKUP_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.backup.backup
cockroachdb,cockroachdb.restore.restore,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,COCKROACHDB.AUTHORITY.RESTORE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.restore.restore
cockroachdb,cockroachdb.transaction.prepare_transaction,MGA authority refusal: compatibility transaction finality visibility rollback or recovery cannot substitute for ScratchBird engine-owned MGA authority,COCKROACHDB.AUTHORITY.PREPARE_TRANSACTION_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.transaction.prepare_transaction
cockroachdb,diagnostic_surface:file,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:file
cockroachdb,diagnostic_surface:program,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:program
cockroachdb,diagnostic_surface:backup,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:backup
cockroachdb,diagnostic_surface:restore,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:restore
cockroachdb,diagnostic_surface:transaction,MGA authority refusal: compatibility transaction finality visibility rollback or recovery cannot substitute for ScratchBird engine-owned MGA authority,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:transaction
cockroachdb,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#marker:unsupported
dolt,dolt.remote.push,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,DOLT.AUTHORITY.REMOTE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#kPatterns:dolt.remote.push
dolt,dolt.remote.pull,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,DOLT.AUTHORITY.REMOTE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#kPatterns:dolt.remote.pull
dolt,dolt.remote.fetch,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,DOLT.AUTHORITY.REMOTE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#kPatterns:dolt.remote.fetch
dolt,dolt.remote.clone,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,DOLT.AUTHORITY.REMOTE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#kPatterns:dolt.remote.clone
dolt,dolt.remote.fetch_sql,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,DOLT.AUTHORITY.REMOTE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#kPatterns:dolt.remote.fetch_sql
dolt,dolt.remote.push_sql,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,DOLT.AUTHORITY.REMOTE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#kPatterns:dolt.remote.push_sql
dolt,dolt.remote.pull_sql,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,DOLT.AUTHORITY.REMOTE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#kPatterns:dolt.remote.pull_sql
dolt,builtin_function_surface:remote,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#kBuiltinSurfaces:remote
dolt,diagnostic_surface:policy,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#kDiagnosticSurfaces:policy
dolt,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#marker:unsupported
duckdb,duckdb.extension.install,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,DUCKDB.AUTHORITY.EXTENSION_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.extension.install
duckdb,duckdb.extension.load,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,DUCKDB.AUTHORITY.EXTENSION_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.extension.load
duckdb,duckdb.storage.checkpoint,MGA authority refusal: compatibility transaction finality visibility rollback or recovery cannot substitute for ScratchBird engine-owned MGA authority,DUCKDB.AUTHORITY.CHECKPOINT_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.storage.checkpoint
duckdb,builtin_function_surface:extension,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kBuiltinSurfaces:extension
duckdb,diagnostic_surface:file,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kDiagnosticSurfaces:file
duckdb,diagnostic_surface:extension,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kDiagnosticSurfaces:extension
duckdb,diagnostic_surface:checkpoint,MGA authority refusal: compatibility transaction finality visibility rollback or recovery cannot substitute for ScratchBird engine-owned MGA authority,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kDiagnosticSurfaces:checkpoint
duckdb,diagnostic_surface:catalog,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kDiagnosticSurfaces:catalog
duckdb,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#marker:unsupported
firebird,firebird.catalog_overlay.read_only_violation,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ParseStatement:firebird.catalog_overlay.read_only_violation
firebird,firebird.invalid_input,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ParseStatement:firebird.invalid_input
firebird,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#marker:unsupported
foundationdb,diagnostic_surface:policy,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kDiagnosticSurfaces:policy
foundationdb,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#marker:unsupported
immudb,builtin_function_surface:backup,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kBuiltinSurfaces:backup
immudb,diagnostic_surface:policy,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kDiagnosticSurfaces:policy
immudb,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/immudb/immudb_dialect.cpp#marker:unsupported
influxdb,diagnostic_surface:policy,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/influxdb/influxdb_dialect.cpp#kDiagnosticSurfaces:policy
influxdb,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/influxdb/influxdb_dialect.cpp#marker:unsupported
mariadb,mariadb.plugin.install_soname,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MARIADB.AUTHORITY.PLUGIN_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.plugin.install_soname
mariadb,mariadb.plugin.uninstall_soname,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MARIADB.AUTHORITY.PLUGIN_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.plugin.uninstall_soname
mariadb,mariadb.session_admin.kill,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MARIADB.AUTHORITY.SESSION_ADMIN_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.session_admin.kill
mariadb,mariadb.plugin.install,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MARIADB.AUTHORITY.PLUGIN_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.plugin.install
mariadb,mariadb.plugin.uninstall,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MARIADB.AUTHORITY.PLUGIN_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.plugin.uninstall
mariadb,mariadb.storage.tablespace.create,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MARIADB.AUTHORITY.TABLESPACE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.storage.tablespace.create
mariadb,mariadb.storage.tablespace.alter,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MARIADB.AUTHORITY.TABLESPACE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.storage.tablespace.alter
mariadb,mariadb.storage.tablespace.drop,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MARIADB.AUTHORITY.TABLESPACE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.storage.tablespace.drop
mariadb,mariadb.transaction.xa,MGA authority refusal: compatibility transaction finality visibility rollback or recovery cannot substitute for ScratchBird engine-owned MGA authority,MARIADB.AUTHORITY.XA_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.transaction.xa
mariadb,diagnostic_surface:file,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kDiagnosticSurfaces:file
mariadb,diagnostic_surface:plugin,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kDiagnosticSurfaces:plugin
mariadb,diagnostic_surface:tablespace,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kDiagnosticSurfaces:tablespace
mariadb,diagnostic_surface:session_admin,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kDiagnosticSurfaces:session_admin
mariadb,diagnostic_surface:binlog,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kDiagnosticSurfaces:binlog
mariadb,diagnostic_surface:xa,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kDiagnosticSurfaces:xa
mariadb,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#marker:unsupported
milvus,diagnostic_surface:policy,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/milvus/milvus_dialect.cpp#kDiagnosticSurfaces:policy
milvus,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/milvus/milvus_dialect.cpp#marker:unsupported
mongodb,mongodb.replica_set.command,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MONGODB.AUTHORITY.REPLICA_ADMIN_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mongodb/mongodb_dialect.cpp#kPatterns:mongodb.replica_set.command
mongodb,diagnostic_surface:policy,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mongodb/mongodb_dialect.cpp#kDiagnosticSurfaces:policy
mongodb,source_marker:unsupported,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,exact_refusal_message_vector_required,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mongodb/mongodb_dialect.cpp#marker:unsupported
mysql,mysql.plugin.install,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MYSQL.AUTHORITY.PLUGIN_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.plugin.install
mysql,mysql.plugin.uninstall,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MYSQL.AUTHORITY.PLUGIN_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.plugin.uninstall
mysql,mysql.storage.tablespace.create,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MYSQL.AUTHORITY.TABLESPACE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.storage.tablespace.create
mysql,mysql.storage.tablespace.alter,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MYSQL.AUTHORITY.TABLESPACE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.storage.tablespace.alter
mysql,mysql.storage.tablespace.drop,ScratchBird authority boundary refusal: parser cannot own engine storage transaction finality recovery file effects external process or unsupported compatibility behavior,MYSQL.AUTHORITY.TABLESPACE_DENIED,project/tests/sblr_surface/,SBLR architecture reviewer,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.storage.tablespace.drop
